,FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine3,AddressLine4,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores,SchemeType,NewRatingPending,Geocode,AddressLine2,lookup_address,latitude,longitude
10,59881,131235,Co-op,Retailers - supermarkets/hypermarkets,7840,,32B Upper Malone Road,Belfast,BT9 5NA,4,fhrs_4_en-GB,2023-02-07,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"32B Upper Malone Road, Belfast",54.555153,-5.9663939
11,57093,128938,Co-op,Retailers - supermarkets/hypermarkets,7840,,357-361 Beersbridge Road,Belfast,BT5 5DT,5,fhrs_5_en-GB,2019-05-08,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"357-361 Beersbridge Road, Belfast",54.5927559,-5.9019827
12,751089,220528,Co-op,Retailers - supermarkets/hypermarkets,7840,,150 Kings Road,Belfast,BT5 7EJ,5,fhrs_5_en-GB,2023-07-24,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"150 Kings Road, Belfast",54.6791661,-5.9136675
13,57805,129543,Co-op,Retailers - supermarkets/hypermarkets,7840,,390 Ormeau Road,Belfast,BT7 3HX,5,fhrs_5_en-GB,2022-09-15,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"390 Ormeau Road, Belfast",54.56903335,-5.913428282801567
14,751092,220595,Co-op,Retailers - supermarkets/hypermarkets,7840,,69 Rosetta Road,Belfast,BT6 0LR,5,fhrs_5_en-GB,2022-09-06,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"69 Rosetta Road, Belfast",54.5709721,-5.90231985
15,59887,131243,Co-op,Retailers - supermarkets/hypermarkets,7840,,323 Ballysillan Road,Belfast,BT14 6RE,5,fhrs_5_en-GB,2020-02-18,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"323 Ballysillan Road, Belfast",54.6315705,-5.957179
16,59985,131335,Co-op,Retailers - supermarkets/hypermarkets,7840,,238 Antrim Road,Belfast,BT15 2AR,5,fhrs_5_en-GB,2020-02-17,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"238 Antrim Road, Belfast",54.6787163,-5.9813324
17,57905,129622,Co-op,Retailers - supermarkets/hypermarkets,7840,,192 Shankill Road,Belfast,BT13 2BJ,5,fhrs_5_en-GB,2023-11-28,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"192 Shankill Road, Belfast",54.60380775,-5.949558992007819
18,57277,129085,Co-op,Retailers - supermarkets/hypermarkets,7840,CO OP SHOP,61 Cregagh Road,Belfast,BT6 8PX,5,fhrs_5_en-GB,2018-02-14,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"61 Cregagh Road, Belfast",54.584511,-5.899404
19,56981,128841,Dunnes Stores,Retailers - supermarkets/hypermarkets,7840,Dunnes Stores,Annadale Embankment,Belfast,BT7 3AE,4,fhrs_4_en-GB,2023-10-05,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"Annadale Embankment, Belfast",54.5750563,-5.9301379
20,1660089,268204,ECO FRESH FOOD,Retailers - supermarkets/hypermarkets,7840,,43 Botanic Avenue,Belfast,BT7 1JG,4,fhrs_4_en-GB,2023-12-06,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"43 Botanic Avenue, Belfast",54.5893416,-5.9336685
21,1692910,141689,Forward South Partnership,Retailers - supermarkets/hypermarkets,7840,,23 University Street,Belfast,BT7 1FY,5,fhrs_5_en-GB,2024-01-23,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"23 University Street, Belfast",54.586023,-5.934304875222454
22,1431969,261832,Home Bargains,Retailers - supermarkets/hypermarkets,7840,Hillview Retail Park,Crumlin Road,Belfast,BT14 7EN,5,fhrs_5_en-GB,2022-01-25,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"Crumlin Road, Belfast",54.6084381,-5.9409309
23,329034,180349,Home Bargains,Retailers - supermarkets/hypermarkets,7840,Kennedy Centre,564-568 Falls Road,Belfast,BT11 9AE,5,fhrs_5_en-GB,2017-04-05,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"564-568 Falls Road, Belfast",54.5808693,-5.9787685
24,455993,185059,Home Bargains,Retailers - supermarkets/hypermarkets,7840,Unit 3 Cityside Retail Park,100-150 York Street,Belfast,BT15 1WA,5,fhrs_5_en-GB,2023-06-29,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"100-150 York Street, Belfast",54.6087286,-5.9269838
25,590304,198349,Home Bargains,Retailers - supermarkets/hypermarkets,7840,Unit 6  Balmoral Plaza,24 Boucher Road,Belfast,BT12 6HR,5,fhrs_5_en-GB,2022-09-08,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"24 Boucher Road, Belfast",54.581399,-5.9599145
26,1024952,244252,Home Bargains,Retailers - supermarkets/hypermarkets,7840,"Unit 9, Connswater Shopping Centre",150 Bloomfield Avenue,Belfast,BT5 5LP,5,fhrs_5_en-GB,2018-01-24,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"150 Bloomfield Avenue, Belfast",54.5937811,-5.8870071
27,1230513,255917,Home Bargains (TJ Morris),Retailers - supermarkets/hypermarkets,7840,"Unit 1, Park Centre",537 Donegall Road,Belfast,BT12 6HN,5,fhrs_5_en-GB,2022-04-21,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"537 Donegall Road, Belfast",54.5889522,-5.9491517
28,57445,129231,Iceland,Retailers - supermarkets/hypermarkets,7840,,1-7 Finaghy Road South,Belfast,BT10 0BW,4,fhrs_4_en-GB,2023-07-27,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"1-7 Finaghy Road South, Belfast",54.5535894,-5.978145
29,57281,129088,Iceland,Retailers - supermarkets/hypermarkets,7840,,78-80 Cregagh Road,Belfast,BT6 9ER,4,fhrs_4_en-GB,2023-08-09,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"78-80 Cregagh Road, Belfast",54.5852918,-5.8993543
30,616408,199934,Iceland,Retailers - supermarkets/hypermarkets,7840,,564-568 Falls Road,Belfast,BT11 9AB,5,fhrs_5_en-GB,2022-08-26,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"564-568 Falls Road, Belfast",54.5808693,-5.9787685
31,58305,129996,Iceland,Retailers - supermarkets/hypermarkets,7840,,477 Antrim Road,Belfast,BT15 3BP,5,fhrs_5_en-GB,2022-09-13,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"477 Antrim Road, Belfast",54.6787163,-5.9813324
32,124312,5283,Iceland,Retailers - supermarkets/hypermarkets,7840,,262-264 Newtownards Road,Belfast,BT4 1HD,4,fhrs_4_en-GB,2023-06-12,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"262-264 Newtownards Road, Belfast",54.5976125,-5.8884379
33,58263,129955,Iceland,Retailers - supermarkets/hypermarkets,7840,,162 -172 Shankill Road,Belfast,BT13 2BE,5,fhrs_5_en-GB,2020-02-27,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"162 -172 Shankill Road, Belfast",54.6054688,-5.9589763
34,144385,83,Iceland,Retailers - supermarkets/hypermarkets,7840,,151 Andersonstown Road,Belfast,BT11 9BH,5,fhrs_5_en-GB,2019-02-27,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"151 Andersonstown Road, Belfast",54.5770386,-5.9802288
35,59602,130993,Iceland,Retailers - supermarkets/hypermarkets,7840,,1 King Street,Belfast,BT1 1HU,5,fhrs_5_en-GB,2016-04-15,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"1 King Street, Belfast",42.341408650000005,-78.11686328549948
36,58742,130164,Iceland,Retailers - supermarkets/hypermarkets,7840,146,Ballysillan Road,Belfast,BT14 7QQ,4,fhrs_4_en-GB,2022-09-07,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,True,,,"Ballysillan Road, Belfast",54.6315705,-5.957179
37,63893,141135,Iceland,Retailers - supermarkets/hypermarkets,7840,Arnott House,12-16 Bridge Street,Belfast,BT1 1LS,5,fhrs_5_en-GB,2016-04-25,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"12-16 Bridge Street, Belfast",54.600161,-5.92709334522534
38,58246,129936,Iceland,Retailers - supermarkets/hypermarkets,7840,Iceland Frozen Foods,3 Brougham Street,Belfast,BT15 1JQ,4,fhrs_4_en-GB,2023-06-21,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"3 Brougham Street, Belfast",54.6098893,-5.9241385
39,58282,129974,Iceland,Retailers - supermarkets/hypermarkets,7840,Park Centre,537 Donegall Road,Belfast,BT12 6HW,4,fhrs_4_en-GB,2023-07-03,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"537 Donegall Road, Belfast",54.5889522,-5.9491517
40,926311,235829,Lidl,Retailers - supermarkets/hypermarkets,7840,,14 Andersonstown Road,Belfast,BT11 9AJ,5,fhrs_5_en-GB,2020-02-28,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"14 Andersonstown Road, Belfast",54.57866945,-5.97874549502629
41,58724,130149,Lidl,Retailers - supermarkets/hypermarkets,7840,,100-116 Stewartstown Road,Belfast,BT17 0LB,5,fhrs_5_en-GB,2017-09-11,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"100-116 Stewartstown Road, Belfast",54.56827515,-6.007919551055659
42,58705,130135,Lidl,Retailers - supermarkets/hypermarkets,7840,Connswater Retail Park,3 Connswater Link,Belfast,BT5 5DL,5,fhrs_5_en-GB,2023-09-21,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"3 Connswater Link, Belfast",54.595718950000006,-5.892477704760172
43,715148,207219,Lidl,Retailers - supermarkets/hypermarkets,7840,Hi Park Centre,59-95 High Street,Belfast,BT1 2AB,5,fhrs_5_en-GB,2022-12-06,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"59-95 High Street, Belfast",54.5999794,-5.92601
44,1408461,258975,Lidl,Retailers - supermarkets/hypermarkets,7840,Hillview Retail Park,Crumlin Road,Belfast,BT14 7EE,5,fhrs_5_en-GB,2021-09-07,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"Crumlin Road, Belfast",54.6084381,-5.9409309
45,1427015,258560,Lidl,Retailers - supermarkets/hypermarkets,7840,Holywood Exchange Retail Park,303 Airport Road West,Belfast,BT3 9ED,5,fhrs_5_en-GB,2022-01-19,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"303 Airport Road West, Belfast",54.6337188,-5.860711119565204
46,1562833,264941,Lidl Shore Road,Retailers - supermarkets/hypermarkets,7840,,176-202 Shore Road,Belfast,BT15 3QA,5,fhrs_5_en-GB,2022-12-14,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"176-202 Shore Road, Belfast",54.6479492,-5.9171393
47,57344,129136,Marks & Spencer,Retailers - supermarkets/hypermarkets,7840,,48 Donegall Place,Belfast,BT1 5BY,5,fhrs_5_en-GB,2022-08-03,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"48 Donegall Place, Belfast",54.5977627,-5.929401292164108
48,684120,204957,Marks & Spencer Simply Foods,Retailers - supermarkets/hypermarkets,7840,,517 Lisburn Road,Belfast,BT9 7GQ,5,fhrs_5_en-GB,2020-10-06,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"517 Lisburn Road, Belfast",54.5671823,-5.9702467
49,59740,131100,Marks & Spencer Simply Foods,Retailers - supermarkets/hypermarkets,7840,,248-266 Upper Newtownards Road,Belfast,BT4 3EU,5,fhrs_5_en-GB,2016-04-27,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"248-266 Upper Newtownards Road, Belfast",54.5941975,-5.8213133
50,60087,131434,Marks & Spencer Simply Foods,Retailers - supermarkets/hypermarkets,7840,Unit 8 Boucher Plaza,24 Boucher Road,Belfast,BT12 6HR,5,fhrs_5_en-GB,2023-07-19,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"24 Boucher Road, Belfast",54.581399,-5.9599145
51,1713032,269971,Mongkok Market,Retailers - supermarkets/hypermarkets,7840,"Unit 4, Whitehall Square Retail Unit",181 Sandy Row,Belfast,BT12 5EU,AwaitingInspection,fhrs_awaitinginspection_en-GB,,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"181 Sandy Row, Belfast",54.5917071,-5.937349
52,1684944,269007,Persian Supermarket A&A,Retailers - supermarkets/hypermarkets,7840,,438 Woodstock Road,Belfast,BT6 9DR,2,fhrs_2_en-GB,2024-01-05,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"438 Woodstock Road, Belfast",54.5923969,-5.9041757
53,1611671,266350,Polonez,Retailers - supermarkets/hypermarkets,7840,Unit 2,61-68 Boucher Crescent,Belfast,BT12 6HU,5,fhrs_5_en-GB,2023-05-18,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"61-68 Boucher Crescent, Belfast",54.5769602,-5.9638508
54,1663766,266598,Poundstretcher,Retailers - supermarkets/hypermarkets,7840,"Unit 44, Park Centre",537 Donegall Road,Belfast,BT12 6HN,5,fhrs_5_en-GB,2023-10-10,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"537 Donegall Road, Belfast",54.5889522,-5.9491517
55,1288610,257345,Rodina Belfast,Retailers - supermarkets/hypermarkets,7840,,47-51 Holywood Road,Belfast,BT4 3BA,1,fhrs_1_en-GB,2023-04-05,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"47-51 Holywood Road, Belfast",54.6006455,-5.8791326
56,59054,130451,Sainsbury's,Retailers - supermarkets/hypermarkets,7840,Holywood Exchange Retail Park,302 Airport Road West,Belfast,BT3 9EJ,5,fhrs_5_en-GB,2021-09-28,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"302 Airport Road West, Belfast",54.6258504,-5.8591807
57,63934,141282,Sainsbury's,Retailers - supermarkets/hypermarkets,7840,"Unit 28, Kennedy Centre",564-568 Falls Road,Belfast,BT11 9AE,5,fhrs_5_en-GB,2021-09-21,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"564-568 Falls Road, Belfast",54.5808693,-5.9787685
58,1451384,262135,SHAM Supermarket,Retailers - supermarkets/hypermarkets,7840,Unit 5 Whitehall Square,181 Sandy Row,Belfast,BT12 5EU,1,fhrs_1_en-GB,2024-02-20,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"181 Sandy Row, Belfast",54.5917071,-5.937349
59,58083,129792,Spar,Retailers - supermarkets/hypermarkets,7840,,191-193 Whiterock Road,Belfast,BT12 7FW,3,fhrs_3_en-GB,2024-03-07,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"191-193 Whiterock Road, Belfast",54.5942067,-5.9872039
60,1153365,252316,Spar,Retailers - supermarkets/hypermarkets,7840,,94 Sunnyside Street,Belfast,BT7 3EG,4,fhrs_4_en-GB,2023-10-03,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"94 Sunnyside Street, Belfast",54.5759689,-5.923543906787595
61,751079,220251,Supervalu,Retailers - supermarkets/hypermarkets,7840,Dairy Farm Centre,Stewartstown Road,Belfast,BT17 0LB,5,fhrs_5_en-GB,2023-02-27,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"Stewartstown Road, Belfast",54.5668774,-6.0126809
62,454848,184021,Tesco,Retailers - supermarkets/hypermarkets,7840,,160-220  Castlereagh Road,Belfast,BT5 5FX,5,fhrs_5_en-GB,2023-02-23,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"160-220  Castlereagh Road, Belfast",54.5919212,-5.8989894
63,751077,220105,Tesco,Retailers - supermarkets/hypermarkets,7840,,140-144 Kingsway,Belfast,BT17 9NP,5,fhrs_5_en-GB,2023-08-31,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"140-144 Kingsway, Belfast",54.5553986,-5.9932072
64,60250,131621,Tesco,Retailers - supermarkets/hypermarkets,7840,,2 Ballygomartin Road,Belfast,BT13 3LD,5,fhrs_5_en-GB,2023-10-09,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"2 Ballygomartin Road, Belfast",54.60766375,-5.9681496054461185
65,59165,130552,Tesco,Retailers - supermarkets/hypermarkets,7840,,288-292 Upper Newtownards Road,Belfast,BT4 3EU,5,fhrs_5_en-GB,2017-12-12,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"288-292 Upper Newtownards Road, Belfast",54.5941975,-5.8213133
66,60066,131413,Tesco,Retailers - supermarkets/hypermarkets,7840,,60-66 Dublin Road,Belfast,BT2 7HP,5,fhrs_5_en-GB,2020-11-10,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"60-66 Dublin Road, Belfast",54.59102275,-5.932753417600829
67,751100,220869,Tesco,Retailers - supermarkets/hypermarkets,7840,,75-77 Rosetta Road,Belfast,BT6 0LR,5,fhrs_5_en-GB,2020-11-10,807,Belfast City,http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx,envhealth@belfastcity.gov.uk,,FHRS,False,,,"75-77 Rosetta Road, Belfast",54.570802099999995,-5.901879650000005
